ID,state,Level_1,Level_2,LOCATION,ChainID,Mild,Moderate,Frequent
bbe7a24e9d86c05624cc5c7c16288957,SC,food_drink,cafe,Starbucks Coffee,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,shopping,furniture_store,Buddy's Home Furnishings,1.49079E+18,0,1,0
ebad11016995a4ca856a52334034e5e0,FL,food_drink,quick_service,KFC,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,personal_finance,banking,Bank of America,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,automotive,gas_station,BP Oil,1.35314E+18,0,1,0
ebad11016995a4ca856a52334034e5e0,FL,shopping,hardware_store,The Home Depot,1.35314E+18,0,1,0
ebad11016995a4ca856a52334034e5e0,FL,food_drink,quick_service,Whataburger,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,health,pharmacy,CVS Pharmacy,1.35314E+18,0,1,0
ebad11016995a4ca856a52334034e5e0,FL,grooming,hair salon,Cuts By Us,1.50094E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,shopping,cell_phone_store,Boost Mobile,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,personal_finance,banking,Woodforest National Bank,1.35314E+18,0,1,0
ebad11016995a4ca856a52334034e5e0,FL,shopping,electronics_store,Boost Mobile,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,personal_finance,banking,Regions Bank,1.35314E+18,0,1,0
ebad11016995a4ca856a52334034e5e0,FL,health,pharmacy,Walgreens,1.35314E+18,0,0,1
ebad11016995a4ca856a52334034e5e0,FL,food_drink,quick_service,McDonald's,1.35314E+18,0,1,0
ebad11016995a4ca856a52334034e5e0,FL,grooming,hair salon,Smartstyle Family Hair Salon,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,automotive,auto_repair,Aerotek,1.49723E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,food_drink,quick_service,Taco Bell,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,food_drink,quick_service,Burger King,1.35314E+18,0,1,0
ebad11016995a4ca856a52334034e5e0,FL,shopping,department_store,Walmart,1.35314E+18,0,0,1
ebad11016995a4ca856a52334034e5e0,FL,food_drink,quick_service,Chick-fil-A,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,food_drink,quick_service,Papa John's Pizza,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,AL,food_drink,quick_service,Chick-fil-A,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,shopping,convenience_store,Dollar Tree Stores,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,food_drink,quick_service,Subway,1.35314E+18,0,0,1
ebad11016995a4ca856a52334034e5e0,FL,automotive,gas_station,Chevron,1.35314E+18,0,0,1
ebad11016995a4ca856a52334034e5e0,FL,personal_finance,banking,Edward Jones Investments,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,shopping,convenience_store,Circle K,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,shopping,grocery_or_supermarket,Publix Super Market,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,grooming,hair salon,Fantastic Sams,1.35314E+18,1,0,0
ebad11016995a4ca856a52334034e5e0,FL,automotive,auto_repair,Advance Auto Parts,1.35314E+18,1,0,0
